ID_unidad_tfecha,Año,Fecha,Mes_num,Trimestre,Clues,Jurisdicción,Mes,Municipio,Unidad,Turno,Localidad,Consultorios Médicos,Tipologia,Aportacion_de_nucleos,Medicos_Turno,Nucleos_por_turno,Razón_nuclear_turno,JornadasxUnidad,Remover,Consultas_de_unidad
QTSSA000055;45214,2023,2023-10-15,10,T4,QTSSA000055,SAN JUAN DEL RÍO,Octubre,AMEALCO DE BONFIL,EL ATORON,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,93
QTSSA000055;45245,2023,2023-11-15,11,T4,QTSSA000055,SAN JUAN DEL RÍO,Noviembre,AMEALCO DE BONFIL,EL ATORON,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,74
QTSSA000055;44941,2023,2023-01-15,1,T1,QTSSA000055,SAN JUAN DEL RÍO,Enero,AMEALCO DE BONFIL,EL ATORON,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,94
QTSSA000055;45275,2023,2023-12-15,12,T4,QTSSA000055,SAN JUAN DEL RÍO,Diciembre,AMEALCO DE BONFIL,EL ATORON,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,98
QTSSA000055;44972,2023,2023-02-15,2,T1,QTSSA000055,SAN JUAN DEL RÍO,Febrero,AMEALCO DE BONFIL,EL ATORON,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,74
QTSSA000055;45000,2023,2023-03-15,3,T1,QTSSA000055,SAN JUAN DEL RÍO,Marzo,AMEALCO DE BONFIL,EL ATORON,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,95
QTSSA000055;45031,2023,2023-04-15,4,T2,QTSSA000055,SAN JUAN DEL RÍO,Abril,AMEALCO DE BONFIL,EL ATORON,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,91
QTSSA000055;45061,2023,2023-05-15,5,T2,QTSSA000055,SAN JUAN DEL RÍO,Mayo,AMEALCO DE BONFIL,EL ATORON,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,96
QTSSA000055;45092,2023,2023-06-15,6,T2,QTSSA000055,SAN JUAN DEL RÍO,Junio,AMEALCO DE BONFIL,EL ATORON,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,94
QTSSA000055;45122,2023,2023-07-15,7,T3,QTSSA000055,SAN JUAN DEL RÍO,Julio,AMEALCO DE BONFIL,EL ATORON,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,90
QTSSA000055;45153,2023,2023-08-15,8,T3,QTSSA000055,SAN JUAN DEL RÍO,Agosto,AMEALCO DE BONFIL,EL ATORON,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,71
QTSSA000055;45184,2023,2023-09-15,9,T3,QTSSA000055,SAN JUAN DEL RÍO,Septiembre,AMEALCO DE BONFIL,EL ATORON,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,2,1,2,20,0,96
QTSSA000055;45306,2024,2024-01-15,1,T1,QTSSA000055,SAN JUAN DEL RÍO,Enero,AMEALCO DE BONFIL,EL ATORON,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,40
QTSSA000055;45337,2024,2024-02-15,2,T1,QTSSA000055,SAN JUAN DEL RÍO,Febrero,AMEALCO DE BONFIL,EL ATORON,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,88
QTSSA000055;45366,2024,2024-03-15,3,T1,QTSSA000055,SAN JUAN DEL RÍO,Marzo,AMEALCO DE BONFIL,EL ATORON,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,75
QTSSA000060;45214,2023,2023-10-15,10,T4,QTSSA000060,SAN JUAN DEL RÍO,Octubre,AMEALCO DE BONFIL,DONICA,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,109
QTSSA000060;45245,2023,2023-11-15,11,T4,QTSSA000060,SAN JUAN DEL RÍO,Noviembre,AMEALCO DE BONFIL,DONICA,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,112
QTSSA000060;44941,2023,2023-01-15,1,T1,QTSSA000060,SAN JUAN DEL RÍO,Enero,AMEALCO DE BONFIL,DONICA,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,36
QTSSA000060;45275,2023,2023-12-15,12,T4,QTSSA000060,SAN JUAN DEL RÍO,Diciembre,AMEALCO DE BONFIL,DONICA,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,66
QTSSA000060;44972,2023,2023-02-15,2,T1,QTSSA000060,SAN JUAN DEL RÍO,Febrero,AMEALCO DE BONFIL,DONICA,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,95
QTSSA000060;45000,2023,2023-03-15,3,T1,QTSSA000060,SAN JUAN DEL RÍO,Marzo,AMEALCO DE BONFIL,DONICA,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,88
QTSSA000060;45031,2023,2023-04-15,4,T2,QTSSA000060,SAN JUAN DEL RÍO,Abril,AMEALCO DE BONFIL,DONICA,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,105
QTSSA000060;45061,2023,2023-05-15,5,T2,QTSSA000060,SAN JUAN DEL RÍO,Mayo,AMEALCO DE BONFIL,DONICA,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,97
QTSSA000060;45092,2023,2023-06-15,6,T2,QTSSA000060,SAN JUAN DEL RÍO,Junio,AMEALCO DE BONFIL,DONICA,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,119
QTSSA000060;45122,2023,2023-07-15,7,T3,QTSSA000060,SAN JUAN DEL RÍO,Julio,AMEALCO DE BONFIL,DONICA,M,RURAL,1,RURAL DE 01 NÚCLEO BÁSICO,1,1,1,1,20,0,46
